external_identify,subject,price,posted_date,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name,area,area_name,region,region_name
140902251,Đất nền thổ cư 108m2 sau lưng chợ Bình Chánh,450000000,1671764938000,1040,Đất,,,,,,,"10.6438,106.59027",106.59027,10.6438,False,,9701,Thị trấn Cần Giuộc,32,Huyện Cần Giuộc,,
140905276,Nền Ngộp Vạn Phát Sông Hậu Gần Khu biệt Thư bờ kè,750000000,1671764927000,1040,Đất,,,,,,,"9.99152,105.81072",105.81072,9.99152,False,,10758,Phường Hưng Thạnh,27,Quận Cái Răng,,
139435904,Đất 1 sẹc nguyễn duy trinh long trường hẻm 7m,2850000000,1671764924426,1040,Đất,,,,,,,"10.80555,106.81868",106.81868,10.80555,False,,9260,Phường Long Trường (Quận 9 cũ),119,Thành phố Thủ Đức,,
140905259,"Đất trồng cây lâu năm, DT 8.107,9 m², 3 triệu/ m²",24350000000,1671764920000,1040,Đất,,,,,,,"10.29667,103.98057",103.98057,10.29667,False,,10707,Xã Cửa Dương,31,Thành phố Phú Quốc,,
140904277,Gần Tết Cần Bán Đất,600000000,1671764819000,1040,Đất,,,,,,,"11.21736,106.21214",106.21214,11.21736,False,,8845,Xã Thạnh Đức,14,Huyện Gò Dầu,,
140905089,"Đất VIEW Biển Mặt Tiền, Tiện Đầu Tư, GầnSânBayPT",1000000000,1671764778000,1040,Đất,,,,,,,"11.08859,108.45637",108.45637,11.08859,False,,7869,Xã Hòa Thắng,42,Huyện Bắc Bình,,
131101525,"Bán đất lớn MT Vành Đai Trong siêu Vip,18x50m",160000000000,1671764774000,1040,Đất,,,,,,,"10.74746,106.61499",106.61499,10.74746,False,,9461,Phường Bình Trị Đông B,108,Quận Bình Tân,,
140688224,Cô ba cần tiền dưỡng già bán đất,2500000000,1671764759000,1040,Đất,,,,,,,"10.94569,106.45619",106.45619,10.94569,False,,9488,Xã Tân An Hội,116,Huyện Củ Chi,,
140870827,ĐẤT RẪY 10000M2 Ở ĐƠN DƯƠNG LÂM ĐỒNG,600000000,1671764697632,1040,Đất,,,,,,,"11.84555,108.60665",108.60665,11.84555,False,,8577,Thị trấn D'Ran,57,Huyện Đơn Dương,,
140904893,"💥ÔTÔ đậu nhà bờ kè Trường Sa Q.3, Cấp 4,3 x 25",8280000000,1671764647000,1040,Đất,,,,,,,"10.78455,106.67876",106.67876,10.78455,False,,9356,Phường 13,98,Quận 3,,
140904447,Đất mặt tiền ql1a giá rẻ,280000000,1671764643000,1040,Đất,,,,,,,"11.56062,108.97641",108.97641,11.56062,False,,7801,Xã Công Hải,45,Huyện Thuận Bắc,,
139242101,"Bán gấp lô đất KDC Thiên Niên Kỷ, Phường Hoá An, B",1780000000,1671764633207,1040,Đất,,,,,,,"10.94288,106.80402",106.80402,10.94288,False,,8989,Phường Hoá An,13,Thành phố Biên Hòa,,
